EmissionCap,CaptureRate,AbatementCost,Feasible,ETS_Price,ETS_Income,Tax_Income,Total_Abate_Cost,Funding_Gap,CarbonTax_Iron_and_steel,CarbonTax_Ammonia,CarbonTax_Cement,CarbonTax_Refinery,Abate_Cost
0.0,0.3,40,True,12.00000000000001,1371874961.493639,0.0,4044137756.576106,-2672262795.082467,0.0,0.0,0.0,0.0,
0.0,0.3,50,True,15.00000000000001,1714843701.8670485,0.0,5055172195.720133,-3340328493.8530846,0.0,0.0,0.0,0.0,
0.0,0.3,60,True,18.000000000000014,2057812442.2404585,0.0,6066206634.864159,-4008394192.6237,0.0,0.0,0.0,0.0,
0.0,0.3,70,True,21.0,2400781182.613866,0.0,7077241074.008185,-4676459891.39432,0.0,0.0,0.0,0.0,
0.0,0.3,80,True,24.00000000000002,2743749922.987278,0.0,8088275513.152212,-5344525590.164934,0.0,0.0,0.0,0.0,
0.0,0.3,90,True,27.0,3086718663.3606844,0.0,9099309952.296238,-6012591288.935554,0.0,0.0,0.0,0.0,
0.0,0.3,100,True,30.00000000000002,3429687403.734097,0.0,10110344391.440266,-6680656987.706169,0.0,0.0,0.0,0.0,
0.0,0.3,110,True,33.00000000000001,3772656144.107504,0.0,11121378830.584291,-7348722686.476788,0.0,0.0,0.0,0.0,
0.0,0.3,120,False,,8002603942.04622,13337673236.743702,,9207863909.061604,,,,,12132413269.728317
0.0,0.4,0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.4,10,True,4.0,457291653.8312126,0.0,1011034439.1440264,-553742785.312814,0.0,0.0,0.0,0.0,
0.0,0.4,20,True,8.0,914583307.6624252,0.0,2022068878.288053,-1107485570.625628,0.0,0.0,0.0,0.0,
0.0,0.4,30,True,12.000000000000012,1371874961.4936392,0.0,3033103317.43208,-1661228355.93844,0.0,0.0,0.0,0.0,
0.0,0.4,40,True,16.0,1829166615.3248503,0.0,4044137756.576106,-2214971141.251256,0.0,0.0,0.0,0.0,
0.0,0.4,50,True,20.00000000000001,2286458269.1560645,0.0,5055172195.720133,-2768713926.5640683,0.0,0.0,0.0,0.0,
0.0,0.4,60,True,24.000000000000025,2743749922.9872785,0.0,6066206634.864159,-3322456711.87688,0.0,0.0,0.0,0.0,
