ETS_Cap,Tax_Cap,Status,Funding Gap,ETS Price,Carbon Tax [Iron_and_steel],Carbon Tax [Ammonia],Carbon Tax [Cement],Carbon Tax [Refinery],Gap at cap,ETS at cap,Tax at cap [Iron_and_steel],Tax at cap [Ammonia],Tax at cap [Cement],Tax at cap [Refinery]
40,70,optimal,-5.409237928688526e-06,0.0,70.0,70.0,21.182743975438438,70.0,,0.0,70.0,70.0,21.182743975438438,70.0
40,80,optimal,-4.913366865366697e-06,0.0,80.0,80.0,9.236650789646614,80.0,,0.0,80.0,80.0,9.236650789646614,80.0
40,90,optimal,-5.247420631349087e-06,0.0,85.76053842082891,90.0,0.0,90.0,,0.0,85.76053842082891,90.0,0.0,90.0
40,100,optimal,-4.789675585925579e-06,0.0,77.0684993671787,100.0,0.0,100.0,,0.0,77.0684993671787,100.0,0.0,100.0
50,0,infeasible,,,,,,,-3383164279.406081,50.0,0.0,0.0,0.0,0.0
50,10,infeasible,,,,,,,-1477782388.4426954,50.0,10.0,10.0,10.0,10.0
50,20,optimal,-4.554050974547863e-06,46.259721786407034,20.0,20.0,20.0,20.0,,46.259721786407034,20.0,20.0,20.0,20.0
50,30,optimal,-5.047302693128586e-06,29.593055119740363,30.0,30.0,30.0,30.0,,29.593055119740363,30.0,30.0,30.0,30.0
50,40,optimal,-4.095054464414716e-06,12.926388453073704,40.0,40.0,40.0,40.0,,12.926388453073704,40.0,40.0,40.0,40.0
50,50,optimal,-5.3032999858260155e-06,0.0,50.0,50.0,45.0749303470221,50.0,,0.0,50.0,50.0,45.0749303470221,50.0
50,60,optimal,-4.913774318993092e-06,0.0,60.0,60.0,33.12883716123027,60.0,,0.0,60.0,60.0,33.12883716123027,60.0
50,70,optimal,-5.409237928688526e-06,0.0,70.0,70.0,21.182743975438438,70.0,,0.0,70.0,70.0,21.182743975438438,70.0
50,80,optimal,-4.913366865366697e-06,0.0,80.0,80.0,9.236650789646614,80.0,,0.0,80.0,80.0,9.236650789646614,80.0
